ANO_ELEICAO,PL*,PSL,PT
1994,6.52,0.0,6.52
1998,2.44,0.0,7.32
2002,5.13,2.56,10.26
2006,0.0,5.0,7.5
2010,5.0,2.5,10.0
2014,4.35,2.17,4.35
2018,2.17,4.35,8.7
2022,8.7,0.0,17.39
