ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;NR_CANDIDATO;NM_CANDIDATO;SQ_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL
2014;MG;DEPUTADO FEDERAL;PSD;5545;MARCOS MONTES CORDEIRO;130000000669;ELEITO POR QP;116175
2014;MG;DEPUTADO FEDERAL;PSD;5550;JAIME MARTINS FILHO;130000000718;ELEITO POR QP;158907
2014;MG;DEPUTADO FEDERAL;PSD;5555;DIEGO LEONARDO DE ANDRADE CARVALHO;130000000716;ELEITO POR QP;114240
2014;MG;DEPUTADO FEDERAL;PSDB;4520;CAIO NARCIO RODRIGUES DA SILVEIRA;130000000692;ELEITO POR QP;101040
2014;MG;DEPUTADO FEDERAL;PSDB;4535;EDUARDO LUIZ BARROS BARBOSA;130000000696;ELEITO POR QP;130453
2014;MG;DEPUTADO FEDERAL;PSDB;4545;PAULO ABI-ACKEL;130000000662;ELEITO POR QP;104849
2014;MG;DEPUTADO FEDERAL;PSDB;4550;RODRIGO BATISTA DE CASTRO;130000000661;ELEITO POR QP;292848
2014;MG;DEPUTADO FEDERAL;PSDB;4555;MARCUS VINICIUS CAETANO PESTANA DA SILVA;130000000703;ELEITO POR QP;131687
2014;MG;DEPUTADO FEDERAL;PSDB;4560;DOMINGOS SAVIO CAMPOS RESENDE;130000000650;ELEITO POR QP;143901
2014;MG;DEPUTADO FEDERAL;PSDB;4566;BONIFÁCIO JOSÉ TAMM DE ANDRADA;130000000651;ELEITO POR MÉDIA;83628
2014;MG;DEPUTADO FEDERAL;PT;1307;ODAIR JOSE DA CUNHA;130000000889;ELEITO POR QP;201782
2014;MG;DEPUTADO FEDERAL;PT;1311;GABRIEL GUIMARÃES DE ANDRADE;130000000856;ELEITO POR QP;200014
2014;MG;DEPUTADO FEDERAL;PT;1312;REGINALDO LÁZARO DE OLIVEIRA LOPES;130000000894;ELEITO POR QP;310226
2014;MG;DEPUTADO FEDERAL;PT;1314;MARIA MARGARIDA MARTINS SALOMÃO;130000000883;ELEITO POR QP;78973
2014;MG;DEPUTADO FEDERAL;PT;1315;JOÃO CARLOS SIQUEIRA;130000000871;ELEITO POR QP;112722
2014;MG;DEPUTADO FEDERAL;PT;1330;MIGUEL CORREA DA SILVA JUNIOR;130000000885;ELEITO POR QP;93450
2014;MG;DEPUTADO FEDERAL;PT;1333;PATRUS ANANIAS DE SOUSA;130000000890;ELEITO POR QP;147175
2014;MG;DEPUTADO FEDERAL;PT;1350;ADELMO CARNEIRO LEAO;130000000832;ELEITO POR MÉDIA;57921
2014;MG;DEPUTADO FEDERAL;PT;1363;JOSE LEONARDO COSTA MONTEIRO;130000000865;ELEITO POR QP;115336
2014;MG;DEPUTADO FEDERAL;PT;1391;WELITON FERNANDES PRADO;130000000907;ELEITO POR QP;186098
2014;MG;DEPUTADO FEDERAL;PTB;1433;EROS FERREIRA BIONDINI;130000000120;ELEITO POR QP;179073
2014;MG;DEPUTADO FEDERAL;PTN;1907;EDSON MOREIRA DA SILVA;130000000439;ELEITO POR QP;49391
2014;MG;DEPUTADO FEDERAL;PV;4311;FABIO AUGUSTO RAMALHO DOS SANTOS;130000000359;ELEITO POR QP;83567
2014;MG;DEPUTADO FEDERAL;REPUBLICANOS*;1010;GEORGE HILTON DOS SANTOS CECILIO;130000000857;ELEITO POR QP;146792
2014;MG;DEPUTADO FEDERAL;SOLIDARIEDADE*;7777;JOSÉ SILVA SOARES;130000000680;ELEITO POR QP;109925
2014;MS;DEPUTADO ESTADUAL;AVANTE*;70000;MARA ELISA NAVACCHI CASEIRO;120000000188;ELEITO POR QP;23532
2014;MS;DEPUTADO ESTADUAL;AVANTE*;70123;MARCIO FERNANDES;120000000189;ELEITO POR QP;22357
2014;MS;DEPUTADO ESTADUAL;DEM*;25121;JOSÉ ROBERTO TEIXEIRA;120000000070;ELEITO POR QP;32069
2014;MS;DEPUTADO ESTADUAL;MDB*;15123;JOÃO EDUARDO BARBOSA ROCHA;120000000252;ELEITO POR QP;30873
2014;MS;DEPUTADO ESTADUAL;MDB*;15150;RENATO PIERETTI CÂMARA;120000000263;ELEITO POR QP;36903
2014;MS;DEPUTADO ESTADUAL;MDB*;15555;OSWALDO MOCHI JUNIOR;120000000275;ELEITO POR QP;35297
2014;MS;DEPUTADO ESTADUAL;MDB*;15615;MARIA ANTONIETA AMORIM DOS SANTOS;120000000273;ELEITO POR MÉDIA;21860
2014;MS;DEPUTADO ESTADUAL;MDB*;15715;MAURICIO PICARELLI;120000000265;ELEITO POR QP;22326
2014;MS;DEPUTADO ESTADUAL;MDB*;15800;MARCOS MARCELLO TRAD;120000000254;ELEITO POR QP;47015
2014;MS;DEPUTADO ESTADUAL;PATRIOTA*;51777;LIDIO NOGUEIRA LOPES;120000000213;ELEITO POR QP;23643
2014;MS;DEPUTADO ESTADUAL;PDT;12000;HUMBERTO REZENDE PEREIRA;120000000316;ELEITO POR QP;27182
2014;MS;DEPUTADO ESTADUAL;PDT;12012;GEORGE TAKIMOTO;120000000289;ELEITO POR MÉDIA;16586
2014;MS;DEPUTADO ESTADUAL;PDT;12345;LUIZ FELIPE RIBEIRO ORRO;120000000312;ELEITO POR QP;28571
2014;MS;DEPUTADO ESTADUAL;PL*;22123;GRAZIELLE SALGADO MACHADO;120000000349;ELEITO POR QP;39374
2014;MS;DEPUTADO ESTADUAL;PL*;22222;PAULO JOSÉ ARAUJO CORREA;120000000350;ELEITO POR QP;39540
2014;MS;DEPUTADO ESTADUAL;PSB;40456;JOSÉ CARLOS BARBOSA;120000000187;ELEITO POR MÉDIA;21554
2014;MS;DEPUTADO ESTADUAL;PSDB;45045;RINALDO MODESTO DE OLIVEIRA;120000000060;ELEITO POR QP;29386
2014;MS;DEPUTADO ESTADUAL;PSDB;45055;ÂNGELO CHAVES GUERREIRO;120000000061;ELEITO POR QP;29534
2014;MS;DEPUTADO ESTADUAL;PSDB;45123;ONEVAN JOSÉ DE MATOS;120000000068;ELEITO POR MÉDIA;24822
2014;MS;DEPUTADO ESTADUAL;PSDB;45456;FLAVIO ESGAIB KAYATT;120000000101;ELEITO POR QP;25685
2014;MS;DEPUTADO ESTADUAL;PT;13013;AMARILDO VALDO DA CRUZ;120000000319;ELEITO POR QP;20585
2014;MS;DEPUTADO ESTADUAL;PT;13111;JOÃO BATISTA DOS SANTOS;120000000325;ELEITO POR QP;21127
2014;MS;DEPUTADO ESTADUAL;PT;13613;PEDRO CESAR KEMP GONÇALVES;120000000327;ELEITO POR MÉDIA;20174
2014;MS;DEPUTADO ESTADUAL;PT;13699;JOSÉ ALMI PEREIRA  MOURA;120000000320;ELEITO POR QP;21195
2014;MS;DEPUTADO FEDERAL;DEM*;2555;LUIZ HENRIQUE MANDETTA;120000000072;ELEITO POR QP;57374
2014;MS;DEPUTADO FEDERAL;MDB*;1511;GERALDO RESENDE PEREIRA;120000000111;ELEITO POR QP;87546
2014;MS;DEPUTADO FEDERAL;MDB*;1515;CARLOS EDUARDO XAVIER MARUN;120000000116;ELEITO POR QP;91816
2014;MS;DEPUTADO FEDERAL;PDT;1234;DAGOBERTO NOGUEIRA FILHO;120000000508;ELEITO POR MÉDIA;54813
2014;MS;DEPUTADO FEDERAL;PSB;4040;TEREZA CRISTINA CORREA DA COSTA DIAS;120000000115;ELEITO POR QP;75149
2014;MS;DEPUTADO FEDERAL;PSDB;4545;MARCIO CAMPOS MONTEIRO;120000000021;ELEITO POR MÉDIA;56441
2014;MS;DEPUTADO FEDERAL;PT;1313;JOSÉ ORCÍRIO MIRANDA DOS SANTOS;120000000500;ELEITO POR QP;160556
2014;MS;DEPUTADO FEDERAL;PT;1331;VANDER LUIZ DOS SANTOS LOUBET;120000000497;ELEITO POR QP;69504
2014;MT;DEPUTADO ESTADUAL;DEM*;25125;DILMAR DAL BOSCO;110000000084;ELEITO POR QP;38290
2014;MT;DEPUTADO ESTADUAL;MDB*;15123;SILVANO FERREIRA DO AMARAL;110000000362;ELEITO POR MÉDIA;15310
2014;MT;DEPUTADO ESTADUAL;MDB*;15151;ROMOALDO ALOIZIO BORACZYNSKI JUNIOR;110000000361;ELEITO POR QP;41764
2014;MT;DEPUTADO ESTADUAL;MDB*;15200;JOSE JOAQUIM DE SOUZA FILHO;110000000354;ELEITO POR QP;43042
2014;MT;DEPUTADO ESTADUAL;PDT;12345;JOSE ANTONIO GONÇALVES VIANA;110000000097;ELEITO POR QP;35300
2014;MT;DEPUTADO ESTADUAL;PDT;12612;LEONARDO RIBEIRO ALBUQUERQUE;110000000098;ELEITO POR QP;34753
2014;MT;DEPUTADO ESTADUAL;PL*;22007;EMANUEL PINHEIRO;110000000366;ELEITO POR QP;34344
2014;MT;DEPUTADO ESTADUAL;PL*;22022;SEBASTIÃO MACHADO REZENDE;110000000378;ELEITO POR QP;45016
2014;MT;DEPUTADO ESTADUAL;PL*;22040;MAURO LUIZ SAVI;110000000374;ELEITO POR QP;55233
2014;MT;DEPUTADO ESTADUAL;PL*;22345;ONDANIR BORTOLINI;110000000376;ELEITO POR QP;40105
2014;MT;DEPUTADO ESTADUAL;PL*;22999;JEFERSON WAGNER RAMOS;110000000370;ELEITO POR QP;26484
2014;MT;DEPUTADO ESTADUAL;PSB;40000;MAX JOEL RUSSI;110000000210;ELEITO POR QP;20690
2014;MT;DEPUTADO ESTADUAL;PSB;40300;OSCAR MARTINS BEZERRA;110000000211;ELEITO POR QP;20390
2014;MT;DEPUTADO ESTADUAL;PSB;40650;JOSE EDUARDO BOTELHO;110000000204;ELEITO POR QP;40517
2014;MT;DEPUTADO ESTADUAL;PSD;55055;WALTER MACHADO RABELLO JÚNIOR;110000000277;ELEITO POR QP;27232
2014;MT;DEPUTADO ESTADUAL;PSD;55123;JANAINA GREYCE RIVA MOREIRA LIMA;110000000283;ELEITO POR QP;48171
2014;MT;DEPUTADO ESTADUAL;PSD;55163;PEDRO INACIO WIEGERT;110000000274;ELEITO POR MÉDIA;20120
2014;MT;DEPUTADO ESTADUAL;PSD;55456;JOSÉ DOMINGOS FRAGA FILHO;110000000443;ELEITO POR QP;21121
2014;MT;DEPUTADO ESTADUAL;PSDB;45000;GUILHERME ANTONIO MALUF;110000000111;ELEITO POR QP;24642
2014;MT;DEPUTADO ESTADUAL;PSDB;45100;WILSON PEREIRA DOS SANTOS;110000000120;ELEITO POR QP;20562
2014;MT;DEPUTADO ESTADUAL;PSDB;45222;SATURNINO MASSON;110000000117;ELEITO POR MÉDIA;16262
2014;MT;DEPUTADO ESTADUAL;PT;13123;VALDIR MENDES BARRANCO;110000000334;ELEITO POR MÉDIA;19227
2014;MT;DEPUTADO ESTADUAL;PV;43333;WANCLEY CHARLES RODRIGUES DE CARVALHO;110000000081;ELEITO POR QP;19639
2014;MT;DEPUTADO ESTADUAL;SOLIDARIEDADE*;77000;JOSE CARLOS JUNQUEIRA DE ARAUJO;110000000223;ELEITO POR QP;17431
2014;MT;DEPUTADO FEDERAL;MDB*;1515;CARLOS GOMES BEZERRA;110000000304;ELEITO POR QP;95739
2014;MT;DEPUTADO FEDERAL;PP*;1111;EZEQUIEL ANGELO FONSECA;110000000438;ELEITO POR MÉDIA;90888
2014;MT;DEPUTADO FEDERAL;PROS;9090;VALTENIR LUIZ PEREIRA;110000000315;ELEITO POR MÉDIA;62923
2014;MT;DEPUTADO FEDERAL;PSB;4010;FABIO PAULINO GARCIA;110000000401;ELEITO POR QP;104976
2014;MT;DEPUTADO FEDERAL;PSB;4045;ADILTON DOMINGOS SACHETTI;110000000541;ELEITO POR QP;112722
2014;MT;DEPUTADO FEDERAL;PSC;2020;VICTÓRIO GALLI FILHO;110000000023;ELEITO POR MÉDIA;64691
