ANO_ELEICAO,PL*,PSL,PT
1994,0.0,0.0,4.55
1998,0.0,0.0,5.0
2002,5.56,0.0,11.11
2006,5.26,0.0,15.79
2010,10.53,0.0,21.05
2014,9.09,4.55,18.18
2018,4.55,4.55,13.64
2022,22.73,0.0,13.64
